,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
44760,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1
44776,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1
44784,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1
44792,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1
44793,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1
44794,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1
44796,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
45048,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
47099,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
47189,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1
47673,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
48888,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
49664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
49665,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
49666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
49668,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
49672,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
49680,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
49696,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
49728,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
49792,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
49915,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1
49920,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
50688,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
51200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
51712,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
52328,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1
52736,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
52968,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1
53760,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
54784,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
55808,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1
56832,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1
57856,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
59824,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1
61176,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
62009,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1
65159,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
