,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
2236,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
2264,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1
2268,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1
2284,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1
2288,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
2292,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1
2296,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1
2297,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1
2298,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1
2300,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1
2301,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1
2302,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1
2552,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1
2556,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1
2680,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1
2808,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
2809,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
2812,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1
2813,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1
3064,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1
3068,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1
3132,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
3164,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
3166,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
3170,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
3172,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1
3174,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1
3176,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1
3180,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1
3182,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1
3184,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1
3186,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1
3188,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1
3189,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1
3190,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1
3192,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1
3193,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1
3194,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1
3195,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1
3196,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
3197,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
3198,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
3199,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
3256,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1
3260,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1
3261,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1
3262,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1
3284,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1
3288,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
3290,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
3292,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1
3293,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1
3294,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1
3300,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
3304,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1
3308,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1
3309,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1
3310,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1
3312,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1
3314,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1
3316,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1
3317,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1
3318,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1
3320,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1
3321,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1
3322,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1
3323,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1
3324,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1
3325,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1
3326,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1
3327,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1
3420,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1
3436,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1
3440,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1
3442,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1
3444,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1
3446,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1
3448,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1
3450,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1
3452,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
3454,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
3456,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
3464,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
3480,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1
3484,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1
3512,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1
3516,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1
3544,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1
3546,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1
3548,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1
3550,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1
3560,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1
3564,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1
3568,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1
3572,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1
3576,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1
3577,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1
3578,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1
3580,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
3581,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
3582,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
3583,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
3704,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1
3706,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1
3708,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
3710,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
3804,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1
3828,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
3832,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1
3834,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1
3836,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1
3837,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1
3838,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1
4088,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
4092,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
4344,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1
4348,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1
4856,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1
5368,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1
5372,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1
5504,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
5506,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
5508,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1
5512,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
6392,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1
6396,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1
6528,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
7286,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1
7292,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1
7294,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1
7356,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1
7384,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1
7388,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
7390,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
7412,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1
7416,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1
7418,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1
7420,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1
7421,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1
7422,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1
7552,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1
7554,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1
7556,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1
7558,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1
7560,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1
7564,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1
7568,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1
7570,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1
7572,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1
7576,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1
7580,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1
7584,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1
7612,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1
7616,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1
7632,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1
7640,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1
7644,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
7676,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
7678,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
8440,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1
8444,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
8952,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1
8956,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1
9336,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
